advertising_id,recency,frequency,monetary
96178e1c-7bd7-46ce-a5be-1c5ebb1357e0,1,45,
cae23b4c-4992-4f99-bcdf-76f5d111130b,1,49,
d14ca4c1-e68f-4222-9a35-ff8158e6f2f2,1,196,
690371ae-4c0a-4bed-a101-38030a80958f,1,217,
800ee558-305d-4e1e-961a-be79307c2a73,1,87,
8823c252-12a9-44e3-85e3-2f0f284848d3,1,83,
25956f1f-02fb-4c22-919e-d151f2e085a9,1,127,
3118e923-3a16-400f-8845-e5d57f378a38,1,147,0.595681
82b674d7-6864-4617-a7f3-3ac7cd585b1e,1,163,
713ff3f8-6185-48a3-b5b5-60afbfc2acfa,1,110,
c7310767-a816-400a-8eb6-18311332d0f2,1,115,
04a991e3-cd50-4547-a4ab-0c75fb460556,1,43,
c453760f-9c0e-4f4d-b5c9-b36fef48ba20,1,156,
59ee1780-4a31-403f-a035-61f028337dcc,1,83,
f3b45170-f9fa-4266-8082-bc7d5830a33f,1,31,
801b398a-699a-4c68-af41-82f76e872d73,1,76,
e4d3747f-1932-4ee9-a426-f3de8d8c2052,1,88,
27e92a24-9697-48fa-a73c-7b4c7f7891ff,1,27,
cd17853c-2166-4b0b-a243-a933619d2ed4,1,23,
401c120c-92c2-4af3-846e-e10e12783536,1,30,
f9c294b9-2b7b-4a54-bd9d-190ca80f8aa1,1,52,
6f5ee70b-7340-487b-877e-c9b32118578d,1,37,
4bb2ee8c-c774-46a9-a88f-46094b391523,1,48,
c99ff990-cffc-4e30-9d79-1c8d2e7d410c,1,32,
4af92436-1f28-425f-a743-8b01fc426320,1,35,
baa13277-2785-4a42-b6cd-01d75525ef60,1,36,
e5a65521-e6f3-4355-a34c-d74247f17f3e,1,57,
ca564e12-0891-43f8-9971-db1f6eacbb4c,1,47,
fcee77d4-44ae-4b3d-b50c-696e35700399,1,66,
b6f3677d-4d40-4297-8abd-0fc2924db7e2,1,108,
088ec9a1-3780-4fca-99ea-da08b79b4591,1,84,
3580e981-e173-422f-955b-cb07e53bcdde,1,66,
c5021a9d-e75d-48f8-a065-c5825db114af,1,57,
3d378e00-b44c-4910-92b1-cfd8206f3a68,1,162,
ebec4253-1a07-4b59-a15f-af59c3e4cbd8,1,91,
6dbd8ba8-37b7-4356-96a6-30349dafa54c,1,54,
80510635-c80d-4b6f-8d72-032ec2e39a7a,1,85,
d5a6f422-b0e7-4a67-8c16-6989c453b715,1,43,
c0b373f9-8138-405b-b50b-a2977478e599,1,200,
5a84c943-405c-4f44-b94c-c2da069e0977,1,123,
18f59970-9b77-43bf-b448-c2dc61995d03,1,72,
dbb3705c-363b-4417-9791-48c6baf33d43,1,35,
0945b505-c789-4c1d-b272-275768d0f9cb,1,42,
c069ffc6-119f-4d83-81c1-90912be06897,1,33,
763d18ce-2d56-42e4-aa98-58bf7a3d2a8b,1,30,
112bedc5-c5e7-4c76-9614-2926ac7c711c,1,134,0.983768
98bc93b2-fadb-4f0e-ac09-184537e4116a,1,33,
90699721-6b7e-4573-9024-6a745b4dd1b0,1,26,
b7d6d58f-d38c-4f3e-8896-6fa3487a251b,1,83,
049ef889-50f8-4156-88c7-b9dbc498d3ec,1,23,
5839289b-0ab5-4691-ab31-afedcaed7f1d,1,27,
bea7e3bc-6d5e-47ef-b805-24e0e053b7d8,1,114,
36507916-6e83-49b6-88fe-34a8f47aab87,1,48,
03ad684f-ce15-477a-84de-976d55d9d06e,1,34,
78000ce5-e697-45e2-9060-eab0d3662012,1,50,
1c2bb095-21aa-4d76-a1d7-6159765adb16,1,49,
362e5219-56ff-4753-9362-c3cda4d7c309,1,72,
a825d499-5266-4cdc-afce-3b30138ad596,1,241,
e84f0c1a-b9e4-4b26-89e3-34763fa8d61c,1,46,
f2f122eb-10f2-4739-9854-083f8c429b5c,1,55,
0f9efab7-b561-4b09-a779-44a49c95e22c,1,70,
09a083f7-1f93-4129-9185-19f18ff831a1,1,23,
e702acc2-afa4-4b2d-af39-5cfbef9c0d2c,1,27,
155ea37b-a467-444e-97b9-cd86005b1f53,1,35,
86a08b5f-07ff-4db4-b400-e74432b3c444,1,143,
3aaebdb8-3012-4a72-8aaf-ce3d1375de76,1,35,
fe4d7cea-1adf-4fb0-8b79-4af881dcd0c0,1,42,
38b686bf-e85c-4526-a118-e1c24c5b32fe,1,32,
98f73ab7-cb42-4e8f-8b64-46ed351b404d,1,25,
8dd25336-c2fc-4784-bcc9-d918a2202ef1,1,29,
616af60f-e5cc-4b09-a675-6a5af1b2db94,1,56,
ba46017e-886b-48cc-a9fd-af691cfd657d,1,89,
1d1de482-f608-4a08-b68c-33308fc37dbb,1,62,
abfe61e3-d605-49e2-8466-b525b70d89ba,1,70,
18253042-f7be-4461-89d8-1e0a41b537ab,1,24,
b0afbd51-c454-46db-a5a6-0bf1e95d3691,1,32,
e996325a-4351-46b1-871b-ab41e334f816,1,26,
f350336a-926e-43bf-9518-4fcbc08f0f20,1,37,
8aa12cd5-b1df-44e9-838c-e4e7c6c9f202,1,84,
65278b2f-e772-49bb-ab3b-fbbc5e33a155,1,72,
48789f76-673f-4e23-8682-a79ea74339d9,1,119,
70f434e8-a1ad-43cb-b4c0-3aeef1d67a66,1,43,
91c12e5d-f00d-4461-9e55-ab5b761a4013,1,46,
972579db-de6b-48b2-989d-4f7620364e60,1,48,
df4c87d0-0556-4ff9-a8d2-50b909fa11a8,1,96,
77cdd878-26a8-4bbd-9053-7d84f52596ca,1,32,
331c0f26-5b05-496b-ae09-32bb4666796c,1,25,
be943f83-ddce-436e-bf01-b00c29ab11f7,1,30,
f143086a-b1c3-42f8-8cb8-dee63f47e719,1,73,
af06edb6-d28e-4f2a-97d4-64036e4d710f,1,76,
8c22a9cf-2422-49f7-950d-0dbb9847ca78,1,31,
dd0976b4-07a5-45be-99ea-fe3cca3e1426,1,33,
3d3f6619-409a-4e89-9972-68b3df31bdb4,1,32,
0d95a370-4577-405c-921e-0b5adde19533,1,34,
3f39387d-eada-4fae-a38c-0b47b35da196,1,52,
6c0e87dd-bc18-4d0d-87e6-6a94f7de54cf,1,40,
4f05bc10-0033-47fe-b3af-c44b657612ab,1,81,
fd291fa0-3ecd-4117-870e-b2d35710bea9,1,48,
