project,country,install_date,user_count,buyer,dau,rev,LTV1,LTV3,LTV7
SK,Thailand,2020-03-31,61,0,76,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-19,191,1,891,4.16776,4.16776,4.16776,4.16776
SK,Taiwan,2020-04-15,1,0,1,0.0,0.0,0.0,0.0
SK,France,2020-05-19,157,1,445,40.77621,34.771035,40.77621,40.77621
SK,Philippines,2020-04-17,117,0,291,0.0,0.0,0.0,0.0
SK,India,2020-05-20,8,0,9,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-12,47,0,165,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-26,220,2,463,10.073229000000001,5.017216,5.017216,5.017216
SK,France,2020-05-18,163,1,514,5.938268,5.938268,5.938268,5.938268
SK,Philippines,2020-03-23,135,0,278,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-16,242,0,584,0.0,0.0,0.0,0.0
SK,Philippines,2020-03-17,417,0,425,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-11,217,1,417,5.011518,0.0,0.0,0.0
SK,Vietnam,2020-04-20,454,0,934,0.0,0.0,0.0,0.0
SK,Brazil,2020-03-23,364,0,610,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-23,208,1,924,4.281648,0.0,0.0,4.281648
SK,Russia,2020-04-19,6,0,10,0.0,0.0,0.0,0.0
SK,Russia,2020-05-11,21,0,41,0.0,0.0,0.0,0.0
SK,Thailand,2020-04-03,103,0,140,0.0,0.0,0.0,0.0
SK,United States,2020-04-25,33,0,43,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-21,495,1,1304,4.281648,0.0,0.0,4.281648
SK,Brazil,2020-04-06,271,0,855,0.0,0.0,0.0,0.0
SK,Ukraine,2020-05-06,18,0,25,0.0,0.0,0.0,0.0
SK,Myanmar (Burma),2020-05-09,2,0,3,0.0,0.0,0.0,0.0
SK,Brazil,2020-03-31,693,0,1117,0.0,0.0,0.0,0.0
SK,Indonesia,2020-05-14,8,0,84,0.0,0.0,0.0,0.0
SK,Colombia,2020-05-06,3,0,3,0.0,0.0,0.0,0.0
SK,Thailand,2020-04-08,99,0,176,0.0,0.0,0.0,0.0
SK,Vietnam,2020-03-24,102,0,165,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-30,245,0,710,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-10,245,0,423,0.0,0.0,0.0,0.0
SK,Singapore,2020-04-20,1,0,4,0.0,0.0,0.0,0.0
SK,Brazil,2020-04-24,152,0,769,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-04,121,0,205,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-05,408,0,707,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-14,19,0,149,0.0,0.0,0.0,0.0
SK,Malaysia,2020-05-04,4,0,4,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-13,392,0,1585,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-24,148,0,354,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-01,67,0,109,0.0,0.0,0.0,0.0
SK,Saudi Arabia,2020-05-24,2,0,3,0.0,0.0,0.0,0.0
SK,India,2020-05-07,5,0,8,0.0,0.0,0.0,0.0
SK,China,2020-05-19,9,0,11,0.0,0.0,0.0,0.0
SK,Iraq,2020-05-15,14,0,19,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-15,287,0,420,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-19,202,0,579,0.0,0.0,0.0,0.0
SK,Indonesia,2020-05-24,26,0,110,0.0,0.0,0.0,0.0
SK,Myanmar (Burma),2020-04-19,3,0,4,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-15,175,2,380,39.876492999999996,5.036321,5.036321,10.045652
SK,China,2020-05-16,21,0,31,0.0,0.0,0.0,0.0
SK,United States,2020-05-10,8,0,11,0.0,0.0,0.0,0.0
SK,Mexico,2020-05-12,1,0,1,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-09,214,0,352,0.0,0.0,0.0,0.0
SK,United Kingdom,2020-05-10,4,0,5,0.0,0.0,0.0,0.0
SK,Russia,2020-03-19,39,0,49,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-04,23,0,528,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-01,36,0,405,0.0,0.0,0.0,0.0
SK,Thailand,2020-03-29,18,0,29,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-08,194,1,299,5.040388,0.0,5.040388,5.040388
SK,Thailand,2020-04-01,55,0,86,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-28,285,0,729,0.0,0.0,0.0,0.0
SK,Philippines,2020-03-24,25,0,166,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-01,64,0,940,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-05,59,0,133,0.0,0.0,0.0,0.0
SK,Indonesia,2020-03-17,124,0,125,0.0,0.0,0.0,0.0
SK,Thailand,2020-03-24,52,0,84,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-21,422,0,887,0.0,0.0,0.0,0.0
SK,Myanmar (Burma),2020-04-27,2,0,2,0.0,0.0,0.0,0.0
SK,Ireland,2020-05-16,1,0,3,0.0,0.0,0.0,0.0
SK,Indonesia,2020-03-20,51,0,80,0.0,0.0,0.0,0.0
SK,Indonesia,2020-05-21,20,0,79,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-13,43,0,175,0.0,0.0,0.0,0.0
SK,Thailand,2020-05-10,10,0,19,0.0,0.0,0.0,0.0
SK,Vietnam,2020-05-18,160,0,564,0.0,0.0,0.0,0.0
SK,Hong Kong,2020-05-09,4,0,5,0.0,0.0,0.0,0.0
SK,China,2020-05-07,111,0,114,0.0,0.0,0.0,0.0
SK,United States,2020-04-08,4,0,11,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-27,4,0,255,0.0,0.0,0.0,0.0
SK,Indonesia,2020-05-23,27,0,89,0.0,0.0,0.0,0.0
SK,,2020-05-07,3,0,3,0.0,0.0,0.0,0.0
SK,Romania,2020-05-08,2,0,3,0.0,0.0,0.0,0.0
SK,South Korea,2020-05-08,12,0,17,0.0,0.0,0.0,0.0
SK,Mexico,2020-05-10,4,0,6,0.0,0.0,0.0,0.0
SK,Thailand,2020-04-07,140,0,209,0.0,0.0,0.0,0.0
SK,Vietnam,2020-03-30,129,0,202,0.0,0.0,0.0,0.0
SK,Russia,2020-03-23,37,0,71,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-04,129,0,184,0.0,0.0,0.0,0.0
SK,Thailand,2020-04-12,62,0,137,0.0,0.0,0.0,0.0
SK,Brazil,2020-03-18,248,0,434,0.0,0.0,0.0,0.0
SK,Singapore,2020-05-10,3,0,3,0.0,0.0,0.0,0.0
SK,Thailand,2020-03-30,41,0,60,0.0,0.0,0.0,0.0
SK,India,2020-05-22,16,0,20,0.0,0.0,0.0,0.0
SK,Nigeria,2020-05-06,1,0,1,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-30,67,0,350,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-28,3,0,217,0.0,0.0,0.0,0.0
SK,China,2020-05-20,9,0,14,0.0,0.0,0.0,0.0
SK,Egypt,2020-05-04,2,0,3,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-12,197,0,614,0.0,0.0,0.0,0.0
SK,India,2020-03-17,92,0,92,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-02,268,1,460,4.91515,4.91515,4.91515,4.91515
SK,Indonesia,2020-05-04,15,0,143,0.0,0.0,0.0,0.0
SK,Portugal,2020-04-14,1,0,1,0.0,0.0,0.0,0.0
SK,,2020-05-20,1,0,1,0.0,0.0,0.0,0.0
SK,Bangladesh,2020-04-14,2,0,2,0.0,0.0,0.0,0.0
SK,Iraq,2020-05-08,5,0,7,0.0,0.0,0.0,0.0
SK,Indonesia,2020-03-23,82,0,147,0.0,0.0,0.0,0.0
SK,Saudi Arabia,2020-05-04,1,0,2,0.0,0.0,0.0,0.0
SK,United States,2020-04-21,6,1,20,4.99,0.0,0.0,0.0
SK,Indonesia,2020-04-02,84,0,141,0.0,0.0,0.0,0.0
SK,Iraq,2020-05-06,12,0,12,0.0,0.0,0.0,0.0
SK,Indonesia,2020-05-06,10,0,128,0.0,0.0,0.0,0.0
SK,China,2020-05-13,36,0,42,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-03,34,0,673,0.0,0.0,0.0,0.0
SK,Argentina,2020-05-10,3,0,6,0.0,0.0,0.0,0.0
SK,Indonesia,2020-04-23,24,0,383,0.0,0.0,0.0,0.0
SK,Thailand,2020-04-17,47,0,111,0.0,0.0,0.0,0.0
SK,Thailand,2020-04-22,25,0,77,0.0,0.0,0.0,0.0
SK,Japan,2020-05-10,4,0,4,0.0,0.0,0.0,0.0
SK,Russia,2020-05-18,15,0,22,0.0,0.0,0.0,0.0
SK,Vietnam,2020-03-21,61,0,115,0.0,0.0,0.0,0.0
SK,Indonesia,2020-03-27,6,0,37,0.0,0.0,0.0,0.0
SK,Myanmar (Burma),2020-05-13,1,0,1,0.0,0.0,0.0,0.0
SK,Uzbekistan,2020-04-18,2,0,2,0.0,0.0,0.0,0.0
SK,Malaysia,2020-03-19,1,0,1,0.0,0.0,0.0,0.0
SK,Egypt,2020-05-06,5,0,5,0.0,0.0,0.0,0.0
SK,China,2020-05-24,8,0,10,0.0,0.0,0.0,0.0
SK,Philippines,2020-03-28,5,0,67,0.0,0.0,0.0,0.0
SK,Indonesia,2020-03-31,57,0,90,0.0,0.0,0.0,0.0
SK,France,2020-05-10,3,0,3,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-19,387,0,906,0.0,0.0,0.0,0.0
SK,South Korea,2020-05-10,11,0,16,0.0,0.0,0.0,0.0
SK,Indonesia,2020-03-24,46,0,113,0.0,0.0,0.0,0.0
SK,Taiwan,2020-05-09,6,0,6,0.0,0.0,0.0,0.0
SK,Hungary,2020-04-19,1,0,1,0.0,0.0,0.0,0.0
SK,Brazil,2020-03-20,253,0,452,0.0,0.0,0.0,0.0
SK,Chile,2020-05-15,1,0,1,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-09,18,0,340,0.0,0.0,0.0,0.0
SK,Taiwan,2020-05-07,12,0,14,0.0,0.0,0.0,0.0
SK,United States,2020-04-27,8,0,18,0.0,0.0,0.0,0.0
SK,Ukraine,2020-05-09,11,0,14,0.0,0.0,0.0,0.0
SK,Andorra,2020-05-18,1,0,1,0.0,0.0,0.0,0.0
SK,Chile,2020-04-08,1,0,2,0.0,0.0,0.0,0.0
SK,China,2020-05-18,10,0,14,0.0,0.0,0.0,0.0
SK,Brazil,2020-03-26,214,0,628,0.0,0.0,0.0,0.0
SK,Uzbekistan,2020-05-16,1,0,2,0.0,0.0,0.0,0.0
SK,Spain,2020-04-23,1,0,1,0.0,0.0,0.0,0.0
SK,Ukraine,2020-05-11,3,0,4,0.0,0.0,0.0,0.0
SK,Vietnam,2020-04-24,158,0,554,0.0,0.0,0.0,0.0
SK,Thailand,2020-05-24,2,0,11,0.0,0.0,0.0,0.0
SK,Ukraine,2020-05-24,3,0,5,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-20,139,0,300,0.0,0.0,0.0,0.0
SK,South Korea,2020-05-16,3,0,5,0.0,0.0,0.0,0.0
SK,Brazil,2020-05-06,24,0,453,0.0,0.0,0.0,0.0
SK,Philippines,2020-05-09,7,0,108,0.0,0.0,0.0,0.0
SK,United Kingdom,2020-05-09,1,0,2,0.0,0.0,0.0,0.0
SK,United States,2020-05-09,5,0,12,0.0,0.0,0.0,0.0
SK,Russia,2020-05-19,10,0,21,0.0,0.0,0.0,0.0
SK,Russia,2020-05-05,68,1,107,5.844963,5.844963,5.844963,5.844963
SK,Thailand,2020-03-23,71,0,104,0.0,0.0,0.0,0.0
SK,Pakistan,2020-04-14,5,0,5,0.0,0.0,0.0,0.0
SK,Greece,2020-04-14,1,0,1,0.0,0.0,0.0,0.0
SK,Tunisia,2020-04-17,1,0,1,0.0,0.0,0.0,0.0
SK,Russia,2020-03-25,4,0,26,0.0,0.0,0.0,0.0
SK,United States,2020-04-19,3,0,15,0.0,0.0,0.0,0.0
SK,Sri Lanka,2020-04-15,1,0,1,0.0,0.0,0.0,0.0
SK,Philippines,2020-04-27,243,0,533,0.0,0.0,0.0,0.0
SK,Ukraine,2020-05-14,9,0,12,0.0,0.0,0.0,0.0
SK,Martinique,2020-05-15,3,0,3,0.0,0.0,0.0,0.0
