Package Name,App Version Code,App Version Name,Reviewer Language,Device,Review Submit Date and Time,Review Submit Millis Since Epoch,Review Last Update Date and Time,Review Last Update Millis Since Epoch,Star Rating,Review Title,Review Text,Developer Reply Date and Time,Developer Reply Millis Since Epoch,Developer Reply Text,Review Link
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,ocean_t,2020-05-11T17:50:05Z,1589219405671,2020-05-11T17:50:05Z,1589219405671,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,laurel_sprout,2020-05-11T19:30:43Z,1589225443198,2020-05-11T19:30:43Z,1589225443198,5,,Muito bom otima jogabilidade e sistema de upgrade,2020-05-12T02:29:37Z,1589250577927,Hello! Thank you for your feedback. We're very happy to know that you're enjoying Shadow Knight! Please follow us on the fanpage for events and news - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOFV9hOFG0OsTksL6X0faT5KDXIvmnsLy1WjWI9l2VY8KMsan9iDdG0BvEsHMQ78AmTbQ5MYTbWAk6KoYg
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,jasmine_sprout,2020-05-11T20:15:19Z,1589228119605,2020-05-11T20:15:19Z,1589228119605,5,,"Ainda estou testando, mas visualmente é muito bonito e a proposta é muito boa e muito ter lançado já em português. Obrigada pelo trabalho de vocês!",2020-05-12T02:29:31Z,1589250571508,"Hi, Thank you for taking the time to write your comments and appreciation. It gives us great pleasure in knowing that you had an enjoyable playing with Shadow Knight. If you need any further help, feel free to contact us anytime on Facebook Fanpage: https://www.facebook.com/shadow.knight.rpg",https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOFfBhjabP4NBAvAL-fEQ8-d5m6ry7TZouc4iGNzIoxX-licwXeUvjD52h7h7M4RdgLxC08XPnI7IPDYJQ
com.fansipan.stickman.fight.shadow.knights,,,pt,j6lte,2020-05-11T20:50:23Z,1589230223280,2020-05-11T20:50:23Z,1589230223280,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,deen_sprout,2020-05-11T21:01:21Z,1589230881375,2020-05-11T21:01:21Z,1589230881375,5,,,,,,
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,a10s,2020-05-11T21:01:31Z,1589230891635,2020-05-11T21:01:41Z,1589230901686,5,,"O jogo é bem legal porém está no início ainda, seria bem interessante um modo de jogo com amigos de maneira online, ou até mesmo 1x1, implantação do modo online com vários modos seria algo muito legal, tipo 1x1 players, 2x2 5x5, e claro implementar mais personagens, com poderes especiais e estilos diferentes, até agora tô gostando muitoo, e estou ansioso para um possível modo online contra amigos❤❤💖",2020-05-12T02:32:12Z,1589250732262,"Hello Andrey, Thank you for your feedback, we will open more features in the next versions to make the game more interesting and exciting. Please follow us on our Facebook fanpage: @Shadow Knight for events and news!",https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOHbjlISMG_rMmR13Sx_Tt_VWL0OOaRgD223ZJrs9VuZ-DlnSrZUpjFA646W3-dm-vbrWeGrCEPu1AU_Qg
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,channel,2020-05-11T21:52:15Z,1589233935259,2020-05-11T21:52:15Z,1589233935259,5,,"Ótimo jogo, mecânica boa e intuitiva.. Arte do jogo é sensacional. Ansioso pelos novos modos. Parabéns aos desenvolvedores <3",2020-05-12T02:33:37Z,1589250817119,"We are always welcome valuable and creative suggestion and try to make your game experience more fun! If you have time, please share your thought with our support team at - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/",https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOEKt8REb19D8Im2MaFxe2kfnz69zEfTSQp021FFCR_Nq58SNIgmNLxNmP-Ksegj2nQxod09IWmF0A8cTA
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,on7xreflte,2020-05-11T21:59:31Z,1589234371310,2020-05-11T21:59:31Z,1589234371310,5,,Ótimo jogo pra quem gosta desse tipos de coisas como eu,2020-05-12T02:52:03Z,1589251923058,Hello! Thank you for your support for our game. Keep visiting our fanpage Shadow Knight for more events and news. Here are pages - facebook fanpage: https://www.facebook.com/shadow.knight.rpg/,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOEhKb15EBV0gvWCSAjXpa8MqTVul7DUpJ9MuF8rdR0UBvMJntFqbHByv66IS3LTBnMY5yxJocN-H6evBw
com.fansipan.stickman.fight.shadow.knights,30,1.0.98,pt,ocean_t,2020-05-11T22:07:41Z,1589234861663,2020-05-11T22:07:41Z,1589234861663,5,,Muito bom parabens poderia colocar uma mira automatica p ajudar com a mulher,,,,https://play.google.com/apps/publish?account=7752608683054605616#ReviewDetailsPlace:p=com.fansipan.stickman.fight.shadow.knights&reviewid=gp:AOqpTOGlPrDasIvGz2Mm-cEf9Jpu9t32IAXn0SnUqzYKRVr737KojpPemhFN3XD5aSbQZhfNrFOu-MzgJGfGJQ
com.fansipan.stickman.fight.shadow.knights,,,pt,on7xreflte,2020-05-11T22:18:48Z,1589235528456,2020-05-11T22:18:48Z,1589235528456,5,,,,,,
